Pincode,City,State,Area
124001,Rohtak,HARYANA,Loadshare Bhiwani
124112,Rohtak,HARYANA,Loadshare Bhiwani
124113,Rohtak,HARYANA,Loadshare Bhiwani
127021,Bhiwani,HARYANA,Loadshare Bhiwani
127027,Bhiwani,HARYANA,Loadshare Bhiwani
127031,Bhiwani,HARYANA,Loadshare Bhiwani
127032,Bhiwani,HARYANA,Loadshare Bhiwani
127040,Bhiwani,HARYANA,Loadshare Bhiwani
127306,Bhiwani,HARYANA,Loadshare Bhiwani
797103,Dimapur,NAGALAND,Loadshare Dimapur
797115,Dimapur,NAGALAND,Loadshare Dimapur
797113,Dimapur,NAGALAND,Loadshare Dimapur
797117,Dimapur,NAGALAND,Loadshare Dimapur
797116,Dimapur,NAGALAND,Loadshare Dimapur
142044,Firozpur,PUNJAB,Loadshare Ferozepur
142047,Firozpur,PUNJAB,Loadshare Ferozepur
142050,Firozpur,PUNJAB,Loadshare Ferozepur
142052,Firozpur,PUNJAB,Loadshare Ferozepur
152001,Firozpur,PUNJAB,Loadshare Ferozepur
152002,Firozpur,PUNJAB,Loadshare Ferozepur
152004,Firozpur,PUNJAB,Loadshare Ferozepur
142001,Moga,PUNJAB,Loadshare Ferozepur
852130,Supaul,BIHAR,Loadshare Ghuran
852108,Supaul,BIHAR,Loadshare Ghuran
852138,Supaul,BIHAR,Loadshare Ghuran
852111,Saharsa,Bihar,Loadshare Ghuran
835207,Gumla,JHARKHAND,Loadshare Gumla
835208,Gumla,JHARKHAND,Loadshare Gumla
835233,Gumla,JHARKHAND,Loadshare Gumla
835302,Lohardaga,JHARKHAND,Loadshare Gumla
713123,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713129,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713130,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713140,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713143,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713150,Bankura,WEST BENGAL,Loadshare Katwa
713502,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713512,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
731302,Birbhum,WEST BENGAL,Loadshare Katwa
742137,Murshidabad,WEST BENGAL,Loadshare Katwa
742301,Murshidabad,WEST BENGAL,Loadshare Katwa
742401,Murshidabad,WEST BENGAL,Loadshare Katwa
742404,Murshidabad,WEST BENGAL,Loadshare Katwa
742402,Murshidabad,WEST BENGAL,Loadshare Katwa
754202,Cuttack,ODISHA,Loadshare Kendrapara
754207,Cuttack,ODISHA,Loadshare Kendrapara
754211,Kendrapara,ODISHA,Loadshare Kendrapara
754213,Kendrapara,ODISHA,Loadshare Kendrapara
754215,Kendrapara,ODISHA,Loadshare Kendrapara
754250,Kendrapara,ODISHA,Loadshare Kendrapara
754239,Kendrapara,ODISHA,Loadshare Kendrapara
848203,Khagaria,BIHAR,Loadshare Khagaria
851202,Khagaria,BIHAR,Loadshare Khagaria
851203,Khagaria,BIHAR,Loadshare Khagaria
721101,Medinipur,WEST BENGAL,Loadshare Kharagpur
721102,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721122,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721124,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721126,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721129,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721133,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721135,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721147,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721149,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721150,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721253,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721301,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721302,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721304,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721305,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721306,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721424,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721437,West Midnapore,WEST BENGAL,Loadshare Kharagpur
