"Pincode","AreaCode","ProcessCode","HubZoneName","HubCity","HubState","COD","PrePaid","HasReversePickUpService"
"515762","","1","South-1","KAMBADUR","ANDHRA PRADESH","True","True",""
"515621","","1","South-1","KAMBADUR","ANDHRA PRADESH","True","True",""
"515766","","1","South-1","KAMBADUR","ANDHRA PRADESH","True","True",""
"515765","","1","South-1","KAMBADUR","ANDHRA PRADESH","True","True",""
"591123","","","South-2","LOKAPUR","KARNATAKA","True","True","True"
"581126","","","South-2","LAKSHMESHWARA","KARNATAKA","True","True","True"
"581118","","","South-2","LAKSHMESHWARA","KARNATAKA","True","True","True"
"689653","","","South-2","PATHANAMTHITTA","KERALA","True","True","True"
"628201","RSC/Thiruchendur","S2/A-68/2C","South-2","THIRUCHENDUR","TAMIL NADU","True","True","True"
"628219","RSC/Thiruchendur","S2/A-68/2C","South-2","THIRUCHENDUR","TAMIL NADU","True","True","True"
"628218","RSC/Thiruchendur","S2/A-68/2C","South-2","THIRUCHENDUR","TAMIL NADU","True","True","True"
"524301","","","South-1","CHEJARLA","ANDHRA PRADESH","True","True","True"
"509350","","","South-1","KODANGAL","TELANGANA","True","True","True"
"445201","","","Central","MANORA","MAHARASHTRA","True","True","True"
"422205","","","West","DINDORI MH","MAHARASHTRA","True","True","True"
"382728","","","West","KADI GJ","GUJARAT","True","True","True"
"382165","","","West","KADI GJ","GUJARAT","True","True","True"
"431169","","","West","Waluj","MAHARASHTRA","True","True","True"
"431172","","W/A-29/17B","West","RAHATA","MAHARASHTRA","True","True","True"
"413707","","W/A-29/17B","West","RAHATA","MAHARASHTRA","True","True","True"
"415216","","W/A-27/19A","West","BAMBAVADE","MAHARASHTRA","True","True","True"
"430006","","1","West","MARCEL","GOA","True","True",""
"754224","","","East","MARSHAGHAI","ORISSA","True","True","True"
"754153","RSC/Kendrapara","E/A-77/11B","East","KENDRAPARA","ORISSA","True","True","True"
"841401","","","East","MASHRAKH","BIHAR","True","True","True"
"721648","","","East","NETAJINAGAR","WEST BENGAL","True","True","True"
"721643","","","East","NETAJINAGAR","WEST BENGAL","True","True","True"
"241202","","","North","SANDILA","UTTAR PRADESH","True","True","True"
"241201","","","North","SANDILA","UTTAR PRADESH","True","True","True"
"241126","","","North","SANDILA","UTTAR PRADESH","True","True","True"
"276203","","","North","LALGANJ","UTTAR PRADESH","True","True","True"
"193404","","1","North","MAGAM","JAMMU AND KASHMIR","True","True",""
"185155","RSC/Nowshera","N/A-15/5C","North","NOWSHERA","JAMMU AND KASHMIR","True","True","True"
"521457","RSC/Jaggaiahpeta","","South-1","JAGGAIAHPETA","ANDHRA PRADESH","True","True","True"
"521178","RSC/Jaggaiahpeta","","South-1","JAGGAIAHPETA","ANDHRA PRADESH","True","True","True"
"521175","RSC/Jaggaiahpeta","","South-1","JAGGAIAHPETA","ANDHRA PRADESH","True","True","True"
"581119","","1","South-2","RATTIHALLI","KARNATAKA","True","True",""
"581116","","1","South-2","RATTIHALLI","KARNATAKA","True","True",""
